Boxer,Date,Venue,Purse,lnRPurse,weight,Age,Wins,Losses,KO,W-Title,PPV,ESPN,HBO,FOX,TopRank,GoldenBoy,RDS,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Gamboa, Yuriorkis",2009.01.09,Buffalo Bills Arena,37998,10.6809594060936,126,27.1036529680362,12,0,10,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Gonzalez, Roger",2009.01.09,Buffalo Bills Arena,20000,10.0391581528853,127,30.6666666666665,27,2,18,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Lara, Erislandy",2009.01.09,Buffalo Bills Arena,3000,8.1420381679994,154,25.75,2,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Bogere, Sharif",2009.01.09,Buffalo Bills Arena,1500,7.44889098743946,135,20.25,4,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Frazier, Johnny D.",2009.01.09,Buffalo Bills Arena,1000,7.0434258793313,139,30.9166666666665,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gonzalez, Joel",2009.01.09,Buffalo Bills Arena,1500,7.44889098743946,146,31.5,2,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gonzales, Brandon G.",2009.01.09,Buffalo Bills Arena,1625,7.528933695113,163,24.6666666666665,5,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Morales, Alvaro",2009.01.09,Buffalo Bills Arena,1500,7.44889098743946,299,25.5,3,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Ayala, Elvin Lee",2009.01.23,Plaza Hotel,4000,8.42972024045119,160,28,18,3,8,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"Bartinelli, Anthony",2009.01.23,Plaza Hotel,3500,8.29618884782666,161,29.1529680365295,20,10,13,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"Jargal, Bayan",2009.01.23,Plaza Hotel,2000,7.73657305989124,142,27,9,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Lee, Benjamin L.",2009.01.23,Plaza Hotel,1750,7.60304166726672,206,25,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Hinkey, Tyler L.",2009.01.23,Plaza Hotel,1200,7.22574743612525,255,26.1118721461182,4,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Del Real, Gabriel",2009.01.23,Plaza Hotel,1700,7.57405413039347,147.5,22.5,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Smith, Lonnie M.",2009.01.23,Plaza Hotel,1000,7.0434258793313,133,21.8333333333333,5,2,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Liles, Patrick M.",2009.01.30,Orleans Hotel,1500,7.44889098743946,189,30.75,7,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Barragan, Victor",2009.01.30,Orleans Hotel,1800,7.63121254423341,199,27.3333333333333,8,4,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"McCall, Elijah K.",2009.01.30,Orleans Hotel,1000,7.0434258793313,228,20.8333333333333,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Banks, Yohan A.",2009.01.30,Orleans Hotel,1000,7.0434258793313,268,33.6666666666665,2,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Battease, Brian D.",2009.01.30,Orleans Hotel,1000,7.0434258793313,123,25.3333333333333,3,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Ramos, Hugo",2009.01.30,Orleans Hotel,1000,7.0434258793313,122,18.8333333333333,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Namauu, Henry CJ",2009.01.30,Orleans Hotel,1000,7.0434258793313,209,24.3333333333333,2,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Scott, DeMark J.",2009.01.30,Orleans Hotel,1000,7.0434258793313,176,27.75,1,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Caldwell, Caleb",2009.01.30,Orleans Hotel,1000,7.0434258793313,176.5,24.5833333333333,2,3,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Bogere, Sharif",2009.02.14,Buffalo Bills Arena,1200,7.22574743612525,136.5,20.3333333333335,5,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Small, Carlos",2009.02.14,Buffalo Bills Arena,1200,7.22574743612525,132,24.0833333333335,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Yanez, David H.",2009.02.14,Buffalo Bills Arena,1000,7.0434258793313,130,19,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Ellis, Richard",2009.02.14,Buffalo Bills Arena,1000,7.0434258793313,132,29.5,2,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Garcia, Ignacio",2009.02.14,Buffalo Bills Arena,900,6.93806536367347,143.5,20,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Scott, Herman",2009.02.14,Buffalo Bills Arena,1000,7.0434258793313,160.5,29.9166666666667,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Brinkley, Jesse Lee",2009.02.14,Reno Events Centre,10000,9.34601097232534,165,32.25,32,5,22,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"Gilbert, Joseph S.",2009.02.14,Reno Events Centre,10000,9.34601097232534,165,32.6666666666667,17,1,13,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"Del Real, Gabriel",2009.02.14,Reno Events Centre,1200,7.22574743612525,147,22.5833333333335,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gonzalez, Joel",2009.02.14,Reno Events Centre,1500,7.44889098743946,147,31.5833333333335,2,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Hinkey, Derek",2009.02.14,Reno Events Centre,2000,7.73657305989124,162,28.75,6,1,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Martyniouk, Stan",2009.02.14,Reno Events Centre,1200,7.22574743612525,133,23.6666666666667,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Herrera, Yogli J.",2009.02.14,Reno Events Centre,3000,8.1420381679994,125,26.5833333333335,22,5,15,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
